,school_badge,school_cat,school_district,school_grade,school_grp,school_name,school_pop,school_ranking,school_ratio,school_state,school_town,school_type,school_url
4505,#221 Best Public Middle Schools in New Jersey,M,Southampton Township School District,B+Overall Niche Grade,6-8 ,Southampton Township School No. 3,232 Students,219.0,9:1 Student-Teacher Ratio, NJ ,no-3-southampton,Public School ,https://www.niche.com/k12/southampton-township-school-no-3-southampton-nj/
4507,,M,,,,Morris Goodwin School,,,,,greenwich,,https://www.niche.com/k12/morris-goodwin-school-greenwich-nj/
4510,#223 Best Public Middle Schools in New Jersey,M,Ocean Township School District (Oakhurst),B+Overall Niche Grade,5-8 ,Ocean Township Intermediate School,"1,064 Students",220.0,9:1 Student-Teacher Ratio, NJ ,ocean,Public School ,https://www.niche.com/k12/ocean-township-intermediate-school-ocean-nj/
4512,#224 Best Public Middle Schools in New Jersey,M,Mountainside School District,B+Overall Niche Grade,3-8 ,Deerfield Elementary School,484 Students,221.0,11:1 Student-Teacher Ratio, NJ ,mountainside,Public School ,https://www.niche.com/k12/deerfield-elementary-school-mountainside-nj/
4514,#225 Best Public Middle Schools in New Jersey,M,Delsea Regional High School District,B+Overall Niche Grade,7-8 ,Delsea Regional Middle School,440 Students,222.0,8:1 Student-Teacher Ratio, NJ ,franklinville,Public School ,https://www.niche.com/k12/delsea-regional-middle-school-franklinville-nj/
4516,,M,Brooklyn,B-Overall Niche Grade,9-12 ,Williamsburg Charter High School,954 Students,223.0,13:1 Student-Teacher Ratio, NY ,brooklyn-ny,Public School ,https://www.niche.com/k12/williamsburg-charter-high-school-brooklyn-ny/
4524,#228 Best Public Middle Schools in New Jersey,M,Pedricktown,B+Overall Niche Grade,"PK, K-8 ",Oldmans Township School,275 Students,227.0,12:1 Student-Teacher Ratio, NJ ,pedricktown,Public School ,https://www.niche.com/k12/oldmans-township-school-pedricktown-nj/
4538,#233 Best Public Middle Schools in New Jersey,M,Jersey City,B+Overall Niche Grade,6-8 ,Explore 2000 Middle School,119 Students,233.0,10:1 Student-Teacher Ratio, NJ ,jersey-city,Public School ,https://www.niche.com/k12/explore-2000-middle-school-jersey-city-nj/
4540,,M,,,,The Ethical Community Charter School,,,,,jersey-city,,https://www.niche.com/k12/the-ethical-community-charter-school-jersey-city-nj/
4543,#235 Best Public Middle Schools in New Jersey,M,Hazlet Township Public School District,B+Overall Niche Grade,5-6 ,Beers Street Elementary School,245 Students,234.0,10:1 Student-Teacher Ratio, NJ ,hazlet,Public School ,https://www.niche.com/k12/beers-street-elementary-school-hazlet-nj/
4545,#236 Best Public Middle Schools in New Jersey,M,Clearview Regional High School District,B+Overall Niche Grade,7-8 ,Clearview Regional Middle School,811 Students,235.0,13:1 Student-Teacher Ratio, NJ ,mullica-hill,Public School ,https://www.niche.com/k12/clearview-regional-middle-school-mullica-hill-nj/
4547,#237 Best Public Middle Schools in New Jersey,M,Stafford Township School District,B+Overall Niche Grade,5-6 ,Stafford Intermediate School,581 Students,236.0,10:1 Student-Teacher Ratio, NJ ,manahawkin,Public School ,https://www.niche.com/k12/stafford-intermediate-school-manahawkin-nj/
4551,#238 Best Public Middle Schools in New Jersey,M,Hasbrouck Heights School District,B+Overall Niche Grade,6-8 ,Hasbrouck Heights Middle School,459 Students,237.0,13:1 Student-Teacher Ratio, NJ ,hasbrouck-heights,Public School ,https://www.niche.com/k12/hasbrouck-heights-middle-school-hasbrouck-heights-nj/
4553,#239 Best Public Middle Schools in New Jersey,M,Secaucus Board of Education,B+Overall Niche Grade,6-8 ,Secaucus Middle School,447 Students,238.0,9:1 Student-Teacher Ratio, NJ ,secaucus,Public School ,https://www.niche.com/k12/secaucus-middle-school-secaucus-nj/
4555,#240 Best Public Middle Schools in New Jersey,M,Morris School District,B+Overall Niche Grade,6-8 ,Frelinghuysen Middle School,"1,111 Students",239.0,11:1 Student-Teacher Ratio, NJ ,morristown,Public School ,https://www.niche.com/k12/frelinghuysen-middle-school-morristown-nj/
4557,,M,,,,Mannington Township School,,,,,salem,,https://www.niche.com/k12/mannington-township-school-salem-nj/
4559,#242 Best Public Middle Schools in New Jersey,M,Mount Laurel Township School District,B+Overall Niche Grade,7-8 ,T.E. Harrington Middle School,962 Students,240.0,11:1 Student-Teacher Ratio, NJ ,mount-laurel,Public School ,https://www.niche.com/k12/te-harrington-middle-school-mount-laurel-nj/
4563,,M,,,,South Hackensack Memorial School,,,,,south-hackensack,,https://www.niche.com/k12/south-hackensack-memorial-school-south-hackensack-nj/
4565,#244 Best Public Middle Schools in New Jersey,M,Kingsway Regional School District,B+Overall Niche Grade,7-8 ,Kingsway Regional Middle School,920 Students,241.0,14:1 Student-Teacher Ratio, NJ ,woolwich-twp,Public School ,https://www.niche.com/k12/kingsway-regional-middle-school-woolwich-twp-nj/
4567,#245 Best Public Middle Schools in New Jersey,M,Teaneck School District,B+Overall Niche Grade,5-8 ,Thomas Jefferson Middle School,517 Students,242.0,9:1 Student-Teacher Ratio, NJ ,teaneck,Public School ,https://www.niche.com/k12/thomas-jefferson-middle-school-teaneck-nj/
4569,#246 Best Public Middle Schools in New Jersey,M,Jackson Township School District,B+Overall Niche Grade,6-8 ,Carl W. Goetz Middle School,"1,160 Students",243.0,13:1 Student-Teacher Ratio, NJ ,jackson,Public School ,https://www.niche.com/k12/carl-w-goetz-middle-school-jackson-nj/
4571,,M,,,,Holland Township Elementary School,,,,,milford,,https://www.niche.com/k12/holland-township-elementary-school-milford-nj/
4574,#248 Best Public Middle Schools in New Jersey,M,Hackettstown Public School District,B+Overall Niche Grade,5-8 ,Hackettstown Middle School,416 Students,244.0,12:1 Student-Teacher Ratio, NJ ,hackettstown,Public School ,https://www.niche.com/k12/hackettstown-middle-school-hackettstown-nj/
4576,#249 Best Public Middle Schools in New Jersey,M,Howell Township Public School District,B+Overall Niche Grade,6-8 ,Howell Township Middle School South,923 Students,245.0,10:1 Student-Teacher Ratio, NJ ,south-howell,Public School ,https://www.niche.com/k12/howell-township-middle-school-south-howell-nj/
4578,#250 Best Public Middle Schools in New Jersey,M,North Hanover Township School District,BOverall Niche Grade,5-6 ,North Hanover Township Upper Elementary School,286 Students,246.0,9:1 Student-Teacher Ratio, NJ ,wrightstown,Public School ,https://www.niche.com/k12/north-hanover-township-upper-elementary-school-wrightstown-nj/
4584,,M,,,,Milford Borough Elementary School,,,,,milford,,https://www.niche.com/k12/milford-borough-elementary-school-milford-nj/
4588,#253 Best Public Middle Schools in New Jersey,M,Plainfield,BOverall Niche Grade,K-8 ,The Queen City Academy Charter School,324 Students,250.0,11:1 Student-Teacher Ratio, NJ ,plainfield,Public School ,https://www.niche.com/k12/the-queen-city-academy-charter-school-plainfield-nj/
4604,,M,,,,Hope Township Elementary School,,,,,hope,,https://www.niche.com/k12/hope-township-elementary-school-hope-nj/
4617,,M,,,,Merchantville Elementary School,,,,,merchantville,,https://www.niche.com/k12/merchantville-elementary-school-merchantville-nj/
4623,#267 Best Public Middle Schools in New Jersey,M,Rochelle Park,BOverall Niche Grade,"PK, K-8 ",Midland School,496 Students,263.0,12:1 Student-Teacher Ratio, NJ ,rochelle-park,Public School ,https://www.niche.com/k12/midland-school-rochelle-park-nj/
4627,,M,,,,Franklin Township School,,,,,quakertown,,https://www.niche.com/k12/franklin-township-school-quakertown-nj/
4629,,M,,,,Port Republic Elementary School,,,,,port-republic,,https://www.niche.com/k12/port-republic-elementary-school-port-republic-nj/
4631,#270 Best Public Middle Schools in New Jersey,M,Old Bridge Township School District,BOverall Niche Grade,6-8 ,Jonas Salk Middle School,970 Students,264.0,11:1 Student-Teacher Ratio, NJ ,old-bridge,Public School ,https://www.niche.com/k12/jonas-salk-middle-school-old-bridge-nj/
4633,,M,,,,Netcong Elementary School,,,,,netcong,,https://www.niche.com/k12/netcong-elementary-school-netcong-nj/
4635,#272 Best Public Middle Schools in New Jersey,M,Cedar Grove Township School District,BOverall Niche Grade,5-8 ,Memorial Middle School,523 Students,265.0,11:1 Student-Teacher Ratio, NJ ,cedar-grove,Public School ,https://www.niche.com/k12/memorial-middle-school-cedar-grove-nj/
4638,#273 Best Public Middle Schools in New Jersey,M,Rockaway Township School District,BOverall Niche Grade,6-8 ,Copeland Middle School,814 Students,266.0,10:1 Student-Teacher Ratio, NJ ,rockaway,Public School ,https://www.niche.com/k12/copeland-middle-school-rockaway-nj/
4640,#274 Best Public Middle Schools in New Jersey,M,Highland Park School District,BOverall Niche Grade,6-8 ,Highland Park Middle School,345 Students,267.0,11:1 Student-Teacher Ratio, NJ ,highland-park,Public School ,https://www.niche.com/k12/highland-park-middle-school-highland-park-nj/
4642,,M,,,,Ridge & Valley Charter School,,,,,blairstown,,https://www.niche.com/k12/ridge--and--valley-charter-school-blairstown-nj/
4646,,M,ny,,,,,,,ny,,,https://www.niche.com/k12/buffalo-seminary-buffalo-ny/
4647,,M,,,,Estell Manor Elementary School,,,,,estell-manor,,https://www.niche.com/k12/estell-manor-elementary-school-estell-manor-nj/
4649,,M,,,,Califon Public School,,,,,califon,,https://www.niche.com/k12/califon-public-school-califon-nj/
4659,#281 Best Public Middle Schools in New Jersey,M,Oxford,BOverall Niche Grade,"PK, K-8 ",Oxford Central School,294 Students,273.0,10:1 Student-Teacher Ratio, NJ ,oxford,Public School ,https://www.niche.com/k12/oxford-central-school-oxford-nj/
4663,#282 Best Public Middle Schools in New Jersey,M,Jersey City School District,BOverall Niche Grade,"PK, K-8 ",Dr. Michael Conti School - P.S. 5,604 Students,274.0,10:1 Student-Teacher Ratio, NJ ,--ps-5-jersey-city,Public School ,https://www.niche.com/k12/dr-michael-conti-school---ps-5-jersey-city-nj/
4665,#283 Best Public Middle Schools in New Jersey,M,Cherry Hill School District,BOverall Niche Grade,6-8 ,John A. Carusi Middle School,920 Students,275.0,12:1 Student-Teacher Ratio, NJ ,cherry-hill,Public School ,https://www.niche.com/k12/john-a-carusi-middle-school-cherry-hill-nj/
4667,#284 Best Public Middle Schools in New Jersey,M,High Bridge School District,BOverall Niche Grade,5-8 ,High Bridge Middle School,168 Students,276.0,9:1 Student-Teacher Ratio, NJ ,high-bridge,Public School ,https://www.niche.com/k12/high-bridge-middle-school-high-bridge-nj/
4670,#285 Best Public Middle Schools in New Jersey,M,Westampton Township Public School District,BOverall Niche Grade,"PK, 5-8 ",Westampton Township Middle School,453 Students,277.0,12:1 Student-Teacher Ratio, NJ ,westampton,Public School ,https://www.niche.com/k12/westampton-township-middle-school-westampton-nj/
4672,#286 Best Public Middle Schools in New Jersey,M,Hoboken,BOverall Niche Grade,K-12 ,Hoboken Charter School,298 Students,278.0,9:1 Student-Teacher Ratio, NJ ,hoboken,Public School ,https://www.niche.com/k12/hoboken-charter-school-hoboken-nj/
4674,#287 Best Public Middle Schools in New Jersey,M,Teaneck,BOverall Niche Grade,K-8 ,Teaneck Community Charter School,320 Students,279.0,13:1 Student-Teacher Ratio, NJ ,teaneck,Public School ,https://www.niche.com/k12/teaneck-community-charter-school-teaneck-nj/
4678,#288 Best Public Middle Schools in New Jersey,M,East Hanover Township School District,BOverall Niche Grade,6-8 ,East Hanover Middle School,348 Students,280.0,9:1 Student-Teacher Ratio, NJ ,east-hanover,Public School ,https://www.niche.com/k12/east-hanover-middle-school-east-hanover-nj/
4680,#289 Best Public Middle Schools in New Jersey,M,Lopatcong Township School District,BOverall Niche Grade,5-8 ,Lopatcong Township Middle School,390 Students,281.0,14:1 Student-Teacher Ratio, NJ ,phillipsburg,Public School ,https://www.niche.com/k12/lopatcong-township-middle-school-phillipsburg-nj/
4682,,M,,,,White Township Consolidated School,,,,,belvidere,,https://www.niche.com/k12/white-township-consolidated-school-belvidere-nj/
4684,#291 Best Public Middle Schools in New Jersey,M,Ringwood School District,BOverall Niche Grade,6-8 ,Martin J. Ryerson Middle School,410 Students,282.0,11:1 Student-Teacher Ratio, NJ ,ringwood,Public School ,https://www.niche.com/k12/martin-j-ryerson-middle-school-ringwood-nj/
4686,#292 Best Public Middle Schools in New Jersey,M,North Brunswick Township School District,BOverall Niche Grade,6-8 ,Linwood Middle School,"1,322 Students",283.0,12:1 Student-Teacher Ratio, NJ ,north-brunswick,Public School ,https://www.niche.com/k12/linwood-middle-school-north-brunswick-nj/
4690,#293 Best Public Middle Schools in New Jersey,M,Bloomingdale School District,BOverall Niche Grade,5-8 ,Walter T. Bergen Middle School,238 Students,284.0,11:1 Student-Teacher Ratio, NJ ,bloomingdale,Public School ,https://www.niche.com/k12/walter-t-bergen-middle-school-bloomingdale-nj/
4692,#294 Best Public Middle Schools in New Jersey,M,Roselle Park Board of Education,BOverall Niche Grade,6-8 ,Roselle Park Middle School,460 Students,285.0,11:1 Student-Teacher Ratio, NJ ,roselle-park,Public School ,https://www.niche.com/k12/roselle-park-middle-school-roselle-park-nj/
4694,#295 Best Public Middle Schools in New Jersey,M,Somerville Public School District,BOverall Niche Grade,6-8 ,Somerville Middle School,375 Students,286.0,11:1 Student-Teacher Ratio, NJ ,somerville,Public School ,https://www.niche.com/k12/somerville-middle-school-somerville-nj/
4696,#296 Best Public Middle Schools in New Jersey,M,Moonachie,BOverall Niche Grade,"PK, K-8 ",Robert L. Craig Elementary School,305 Students,287.0,10:1 Student-Teacher Ratio, NJ ,moonachie,Public School ,https://www.niche.com/k12/robert-l-craig-elementary-school-moonachie-nj/
4698,,M,,,,Elsinboro Township School,,,,,salem,,https://www.niche.com/k12/elsinboro-township-school-salem-nj/
4701,#298 Best Public Middle Schools in New Jersey,M,Ogdensburg,BOverall Niche Grade,K-8 ,Ogdensburg School,238 Students,288.0,9:1 Student-Teacher Ratio, NJ ,ogdensburg,Public School ,https://www.niche.com/k12/ogdensburg-school-ogdensburg-nj/
4703,#299 Best Public Middle Schools in New Jersey,M,Oceanport School District,BOverall Niche Grade,5-8 ,Maple Place Middle School,251 Students,289.0,13:1 Student-Teacher Ratio, NJ ,oceanport,Public School ,https://www.niche.com/k12/maple-place-middle-school-oceanport-nj/
4705,#300 Best Public Middle Schools in New Jersey,M,Evesham Township School District,BOverall Niche Grade,6-8 ,Marlton Middle School,749 Students,290.0,11:1 Student-Teacher Ratio, NJ ,marlton,Public School ,https://www.niche.com/k12/marlton-middle-school-marlton-nj/
4713,,M,,,,Farmingdale Elementary School,,,,,farmingdale,,https://www.niche.com/k12/farmingdale-elementary-school-farmingdale-nj/
4715,,M,,,,Gibbsboro School,,,,,gibbsboro,,https://www.niche.com/k12/gibbsboro-school-gibbsboro-nj/
4717,,M,ny,,,,,,,ny,,,https://www.niche.com/k12/lycee-francais-de-new-york-new-york-ny/
4718,,M,,,,Lafayette Township School,,,,,lafayette,,https://www.niche.com/k12/lafayette-township-school-lafayette-nj/
4726,,M,nj,,,,,,,nj,,,https://www.niche.com/k12/toms-river-intermediate-north-toms-river-nj/
4732,#310 Best Public Middle Schools in New Jersey,M,Garwood,BOverall Niche Grade,"PK, K-8 ",Lincoln Franklin Elementary School,369 Students,298.0,12:1 Student-Teacher Ratio, NJ ,garwood,Public School ,https://www.niche.com/k12/lincoln-franklin-elementary-school-garwood-nj/
4734,#311 Best Public Middle Schools in New Jersey,M,Eatontown Public School District,BOverall Niche Grade,7-8 ,Memorial Middle School,216 Students,299.0,9:1 Student-Teacher Ratio, NJ ,eatontown,Public School ,https://www.niche.com/k12/memorial-middle-school-eatontown-nj/
4736,#312 Best Public Middle Schools in New Jersey,M,Wharton Borough School District,BOverall Niche Grade,6-8 ,A.C. MacKinnon Middle School,286 Students,300.0,10:1 Student-Teacher Ratio, NJ ,wharton,Public School ,https://www.niche.com/k12/ac-mackinnon-middle-school-wharton-nj/
4740,#313 Best Public Middle Schools in New Jersey,M,Vernon Township School District,BOverall Niche Grade,5-6 ,Lounsberry Hollow Middle School,459 Students,301.0,9:1 Student-Teacher Ratio, NJ ,vernon,Public School ,https://www.niche.com/k12/lounsberry-hollow-middle-school-vernon-nj/
4742,,M,Millville,BOverall Niche Grade,K-7 ,Millville Public Charter School,306 Students,302.0,11:1 Student-Teacher Ratio, NJ ,millville,Public School ,https://www.niche.com/k12/millville-public-charter-school-millville-nj/
